# ----------------------------------------
# All Web Site Data
# Обзор аудитории
# 20160825-20160925
# ----------------------------------------

Индекс дня,Сеансы
25.08.2016,1 587
26.08.2016,1 257
27.08.2016,424
28.08.2016,455
29.08.2016,459
30.08.2016,673
31.08.2016,448
01.09.2016,993
02.09.2016,632
03.09.2016,996
04.09.2016,526
05.09.2016,338
06.09.2016,470
07.09.2016,978
08.09.2016,982
09.09.2016,1 303
10.09.2016,522
11.09.2016,1 273
12.09.2016,2 090
13.09.2016,2 721
14.09.2016,2 338
15.09.2016,2 159
16.09.2016,255
17.09.2016,17
18.09.2016,18
19.09.2016,14
20.09.2016,33
21.09.2016,7
22.09.2016,11
23.09.2016,13
24.09.2016,4
25.09.2016,8
,24 004
